Boardgame Players Association,,,,,,,,,,,,
2026 WBC Schedule,,,,,,,,,,,,
,,,,,,,,,,,,
Chronological Web Schedule,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date
First Friday,,,,,,,,,,,,
7/25/26,FSa,12,SJN,San Juan,Round 3/5,B,SwEl,Continuous,1,Fox Den,"Mullet, Jeff",
7/25/26,FSa,12,SMW,Small World,Heat 2/3,B,HMW-P,Scheduled,2,Alpine,"O'Flynn, Tim",
7/25/26,FSa,13,CTN,Catan,Demo 1/1,--,--,---,1,Exhibit Hall Annex #7,"Gitzen II, John",
7/25/26,FSa,13,POG,Paths of Glory,Mulligan,C,SEM,Scheduled,6,Winterberry,"Gregorio, Alex",
7/25/26,FSa,13,SJN,San Juan,Round 4/5,B,SwEl,Continuous,1,Fox Den,"Mullet, Jeff",
7/25/26,FSa,14,DOM,Dominion,Heat 1/3,B,HWO,Scheduled,1,Seasons,"Bielefeldt, Russ",
7/25/26,FSa,14,GWT,Great Western Trail,Heat 1/3,A,HMW-P,Scheduled,3,Snowflake,"Versak, Dalton",
7/25/26,FSa,14,HRC,Hannibal: Rome vs Carthage,Round 1/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",
7/25/26,FSa,14,SJN,San Juan,Round 5/5,B,SwEl,Continuous,1,Fox Den,"Mullet, Jeff",
7/25/26,FSa,14,SKG,Sekigahara,Mulligan,C,SwEl,Continuous,4,First Tracks Poolside,"Mishler, Dennis",
7/25/26,FSa,14,THA,Thunder Alley,Heat 1/3,B,HMW-T,Scheduled,3,Timberstone,"Collins II, Curt",
7/25/26,FSa,15,7WS,7 Wonders,Heat 2/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Shea, Elizabeth",
7/25/26,FSa,15,5TR,Five Tribes,Heat 1/3,B,HMW-P,Scheduled,2,Sunburst,"Wildes, Chris",
7/25/26,FSa,15,SJN,San Juan,Quarterfinal,B,SwEl,Continuous,1,Fox Den,"Mullet, Jeff",
7/25/26,FSa,16,JCY,John Company,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Burdett, Jeff",
7/25/26,FSa,16,SRM,Star Wars: Outer Rim,Demo 1/1,--,--,---,1,Exhibit Hall Annex #3,"Sample, Martin",
7/25/26,FSa,16,TT2,Titan 2-Player,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"desJardins, David",
7/25/26,FSa,16,TNW,The Napoleonic Wars,Demo 1/2,--,--,---,1,Exhibit Hall Annex #8,"Williams, Gareth",
7/25/26,FSa,16,CTN,Catan,Round 1/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Gitzen II, John",
7/25/26,FSa,16,RDG,Ra: The Dice Game,Heat 1/3,B,HWO,Scheduled,1,Seasons,"Del Carpio, Tina",
7/25/26,FSa,16,SJN,San Juan,Semifinal,B,SwEl,Continuous,1,Fox Den,"Mullet, Jeff",
7/25/26,FSa,17,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,
7/25/26,FSa,17 ,7WS,7 Wonders,Demo 1/1,--,--,--,1,Exhibit Hall Annex #7,"Shea, Elizabeth",
7/25/26,FSa,17,SAG,Sagrada,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Schreier, Daron",
7/25/26,FSa,17,AGR,Agricola,Heat 1/3,A,HMW-P,Scheduled,3,Snowflake,"Sperling, Lumin",
7/25/26,FSa,17,ROT,Root,Heat 2/3,C,HWO,Scheduled,3,Sunburst,"McKinnes, Luke",
7/25/26,FSa,17,SP2,Splendor Duel,Heat 1/2,B,HWO,Scheduled,2,Seasons,"Chauvin, Carl",
7/25/26,FSa,17,TTN,Titan,Heat 1/4,A,HMW-P,Scheduled,5,First Tracks Poolside,"desJardins, David",
7/25/26,FSa,17,SJN,San Juan,Final,B,SwEl,Continuous,1,Fox Den,"Mullet, Jeff",
7/25/26,FSa,18,--,Large Game Collection Management,--,--,--,--,1,Dogwood,"Engelmann, Eric",
7/25/26,FSa,18,CAR,Carcassonne,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Hammond, Kevin",
7/25/26,FSa,18,VIP,Victory in the Pacific,Demo 1/1,--,--,---,1,Exhibit Hall Annex #6,"Drozd, Ted",
7/25/26,FSa,18,8XX,18xx,Heat 2/4,B,HMW-T,Scheduled,6,Alpine,"McCorry, Tom",
7/25/26,FSa,18,CTN,Catan,Round 2/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Gitzen II, John",
7/25/26,FSa,18,JCY,John Company,Heat 1/2,B,HMW-P,Scheduled,5,Alpine,"Burdett, Jeff",
7/25/26,FSa,18,SCC,Stock Car Championship Racing,Heat 1/3,B,HMW-P,Scheduled,2,First Tracks Center,"Wolfe, David",
7/25/26,FSa,18,TNW,The Napoleonic Wars,Heat 1/3,B,HE,Scheduled,6,Wagner's Run,"Williams, Gareth",
7/25/26,FSa,19,7WS,7 Wonders,Heat 3/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Shea, Elizabeth",
7/25/26,FSa,19,5TR,Five Tribes,Heat 2/3,B,HMW-P,Scheduled,2,Sunburst,"Wildes, Chris",
7/25/26,FSa,19,HRC,Hannibal: Rome vs Carthage,Round 2/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",
7/25/26,FSa,19,SRM,Star Wars: Outer Rim,Heat 1/3,B,HMW-T,Scheduled,3,Alpine,"Sample, Martin",
7/25/26,FSa,20,MED,Medici,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Cornett, Jeff",
7/25/26,FSa,20,RDG,Ra: The Dice Game,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Del Carpio, Tina",
7/25/26,FSa,20,AOA,Ace of Aces,Heat 1/4,C,SwEl,Freeform,1,Chestnut,"Chesnut, Matt",
7/25/26,FSa,20,AOR,Age of Renaissance,Heat 1/2,B,HMW-P,Scheduled,4,Alpine,"Spencer, Jay",
7/25/26,FSa,20,AGR,Agricola,Heat 2/3,A,HMW-P,Scheduled,3,Snowflake,"Sperling, Lumin",
7/25/26,FSa,20,CTN,Catan,Round 3/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Gitzen II, John",
7/25/26,FSa,21,MED,Medici,Heat 1/3,C,HWO,Scheduled,2,Seasons,"Cornett, Jeff",
7/25/26,FSa,21,RRR,Russian Railroads,Heat 1/3,A,HMW-T,Scheduled,2,Sunburst,"Collins II, Curt",
7/25/26,FSa,22,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,
7/25/26,FSa,22,LAS,Las Vegas,Round 1/1,C,SE,Continuous,1,Grand Ballroom,"Wojtaszczyk, Laurie",
7/25/26,FSa,23,LAS,Las Vegas,Round 2/2,C,SE,Continuous,1,Grand Ballroom,"Wojtaszczyk, Laurie",
7/25/26,FSa,24,--,Open Gaming Library Closes,--,--,--,--,--,Exhibit Hall,"Buckwalter, Scott",
7/25/26,FSa,24,LAS,Las Vegas,Semifinal,C,SE,Continuous,1,Grand Ballroom,"Wojtaszczyk, Laurie",
First Sunday,,,,,,,,,,,,
7/26/26,FSu,1,LAS,Las Vegas,Final,C,SE,Continuous,1,Grand Ballroom,"Wojtaszczyk, Laurie",
7/26/26,FSu,7:30,--,Yoga for all levels,--,--,--,--,0.75,Ski Lodge Deck,"Lewis, Jeff",
7/26/26,FSu,8,--,Registration,--,--,--,--,12,Stag Pass,"Gutermuth, Ken",
7/26/26,FSu,8,--,Christian Worship Service,--,--,--,--,1,Sunburst,"Petroski, Glenn",
7/26/26,FSu,9,--,Open Gaming,--,--,--,--,15,Exhibit Hall,"Buckwalter, Scott",
7/26/26,FSu,9,--,Open Gaming Library Opens,--,--,--,--,15,Exhibit Hall,"Buckwalter, Scott",
7/26/26,FSu,9,C&K,Catan: Cities & Knights,Demo 1/1,--,--,---,1,Exhibit Hall Annex #7,"Gnech, Chris",
7/26/26,FSu,9,FL7,Flip 7,Demo 1/1,--,--,---,1,Exhibit Hall Annex #9,"Warrender, Kevin",
7/26/26,Fsu,9,GAP,Gaia Project,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Cederquist, Dave",
7/26/26,FSu,9,MMS,March Madness,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Reiff, Bruce",
7/26/26,FSu,9,PGD,Power Grid,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Munson, Mike",
7/26/26,FSu,9,VGQ,Virgin Queen,Demo 1/1,--,--,---,1,Exhibit Hall Annex #9,"Beach, Ed",
